Dia do Ômer,Semanas e Dias,Data Judaico,Data Gregoriana (Noite Iniciando),Pronúncia (Transliterado),Observações
1,1 dia,16 de Nissan 5785,13 de abril de 2025,"Hayom yom echad la'Omer","Primeira contagem (após o 1º dia de Pêssach)"
2,2 dias,17 de Nissan 5785,14 de abril de 2025,"Hayom shney yamim la'Omer",
3,3 dias,18 de Nissan 5785,15 de abril de 2025,"Hayom shlosha yamim la'Omer",
4,4 dias,19 de Nissan 5785,16 de abril de 2025,"Hayom arba'ah yamim la'Omer",
5,5 dias,20 de Nissan 5785,17 de abril de 2025,"Hayom chamisha yamim la'Omer",
6,6 dias,21 de Nissan 5785,18 de abril de 2025,"Hayom shishah yamim la'Omer",
7,7 dias,22 de Nissan 5785,19 de abril de 2025,"Hayom shiv'ah yamim, shehem shavua echad la'Omer",
8,1 dia e 1 semana,23 de Nissan 5785,20 de abril de 2025,"Hayom yom echad v'shavua echad la'Omer",
9,2 dias e 1 semana,24 de Nissan 5785,21 de abril de 2025,"Hayom shney yamim v'shavua echad la'Omer",
10,3 dias e 1 semana,25 de Nissan 5785,22 de abril de 2025,"Hayom shlosha yamim v'shavua echad la'Omer",
11,4 dias e 1 semana,26 de Nissan 5785,23 de abril de 2025,"Hayom arba'ah yamim v'shavua echad la'Omer",
12,5 dias e 1 semana,27 de Nissan 5785,24 de abril de 2025,"Hayom chamisha yamim v'shavua echad la'Omer",
13,6 dias e 1 semana,28 de Nissan 5785,25 de abril de 2025,"Hayom shishah yamim v'shavua echad la'Omer",
14,7 dias e 1 semana,29 de Nissan 5785,26 de abril de 2025,"Hayom shiv'ah yamim, shehem shnay shavuim la'Omer",
15,1 dia e 2 semanas,1 de Iyar 5785,27 de abril de 2025,"Hayom yom echad u'shnay shavuim la'Omer",
16,2 dias e 2 semanas,2 de Iyar 5785,28 de abril de 2025,"Hayom shney yamim u'shnay shavuim la'Omer",
17,3 dias e 2 semanas,3 de Iyar 5785,29 de abril de 2025,"Hayom shlosha yamim u'shnay shavuim la'Omer",
18,4 dias e 2 semanas,4 de Iyar 5785,30 de abril de 2025,"Hayom arba'ah yamim u'shnay shavuim la'Omer",
19,5 dias e 2 semanas,5 de Iyar 5785,1 de maio de 2025,"Hayom chamisha yamim u'shnay shavuim la'Omer",
20,6 dias e 2 semanas,6 de Iyar 5785,2 de maio de 2025,"Hayom shishah yamim u'shnay shavuim la'Omer",
21,7 dias e 2 semanas,7 de Iyar 5785,3 de maio de 2025,"Hayom shiv'ah yamim, shehem shlosha shavuim la'Omer",
22,1 dia e 3 semanas,8 de Iyar 5785,4 de maio de 2025,"Hayom yom echad u'shlosha shavuim la'Omer",
23,2 dias e 3 semanas,9 de Iyar 5785,5 de maio de 2025,"Hayom shney yamim u'shlosha shavuim la'Omer",
24,3 dias e 3 semanas,10 de Iyar 5785,6 de maio de 2025,"Hayom shlosha yamim u'shlosha shavuim la'Omer",
25,4 dias e 3 semanas,11 de Iyar 5785,7 de maio de 2025,"Hayom arba'ah yamim u'shlosha shavuim la'Omer",
26,5 dias e 3 semanas,12 de Iyar 5785,8 de maio de 2025,"Hayom chamisha yamim u'shlosha shavuim la'Omer",
27,6 dias e 3 semanas,13 de Iyar 5785,9 de maio de 2025,"Hayom shishah yamim u'shlosha shavuim la'Omer",
28,7 dias e 3 semanas,14 de Iyar 5785,10 de maio de 2025,"Hayom shiv'ah yamim, shehem arba'ah shavuim la'Omer",
29,1 dia e 4 semanas,15 de Iyar 5785,11 de maio de 2025,"Hayom yom echad v'arba'ah shavuim la'Omer",
30,2 dias e 4 semanas,16 de Iyar 5785,12 de maio de 2025,"Hayom shney yamim v'arba'ah shavuim la'Omer",
31,3 dias e 4 semanas,17 de Iyar 5785,13 de maio de 2025,"Hayom shlosha yamim v'arba'ah shavuim la'Omer",
32,4 dias e 4 semanas,18 de Iyar 5785,14 de maio de 2025,"Hayom arba'ah yamim v'arba'ah shavuim la'Omer",
33,5 dias e 4 semanas,19 de Iyar 5785,15 de maio de 2025,"Hayom chamisha yamim v'arba'ah shavuim la'Omer","Lag BaÔmer (33º dia)"
34,6 dias e 4 semanas,20 de Iyar 5785,16 de maio de 2025,"Hayom shishah yamim v'arba'ah shavuim la'Omer",
35,7 dias e 4 semanas,21 de Iyar 5785,17 de maio de 2025,"Hayom shiv'ah yamim, shehem chamisha shavuim la'Omer",
36,1 dia e 5 semanas,22 de Iyar 5785,18 de maio de 2025,"Hayom yom echad v'chamisha shavuim la'Omer",
37,2 dias e 5 semanas,23 de Iyar 5785,19 de maio de 2025,"Hayom shney yamim v'chamisha shavuim la'Omer",
38,3 dias e 5 semanas,24 de Iyar 5785,20 de maio de 2025,"Hayom shlosha yamim v'chamisha shavuim la'Omer",
39,4 dias e 5 semanas,25 de Iyar 5785,21 de maio de 2025,"Hayom arba'ah yamim v'chamisha shavuim la'Omer",
40,5 dias e 5 semanas,26 de Iyar 5785,22 de maio de 2025,"Hayom chamisha yamim v'chamisha shavuim la'Omer",
41,6 dias e 5 semanas,27 de Iyar 5785,23 de maio de 2025,"Hayom shishah yamim v'chamisha shavuim la'Omer",
42,7 dias e 5 semanas,28 de Iyar 5785,24 de maio de 2025,"Hayom shiv'ah yamim, shehem shisha shavuim la'Omer",
43,1 dia e 6 semanas,29 de Iyar 5785,25 de maio de 2025,"Hayom yom echad v'shisha shavuim la'Omer",
44,2 dias e 6 semanas,1 de Sivan 5785,26 de maio de 2025,"Hayom shney yamim v'shisha shavuim la'Omer",
45,3 dias e 6 semanas,2 de Sivan 5785,27 de maio de 2025,"Hayom shlosha yamim v'shisha shavuim la'Omer",
46,4 dias e 6 semanas,3 de Sivan 5785,28 de maio de 2025,"Hayom arba'ah yamim v'shisha shavuim la'Omer",
47,5 dias e 6 semanas,4 de Sivan 5785,29 de maio de 2025,"Hayom chamisha yamim v'shisha shavuim la'Omer",
48,6 dias e 6 semanas,5 de Sivan 5785,30 de maio de 2025,"Hayom shishah yamim v'shisha shavuim la'Omer",
49,7 dias e 6 semanas,6 de Sivan 5785,31 de maio de 2025,"Hayom shiv'ah yamim, shehem shiv'ah shavuim la'Omer",
50,7 semanas completas,7 de Sivan 5785,1 de junho de 2025,"","Shavuot (inicia no pôr do sol)"
